"id","title","referenced_id","referenced_class"
276,animal or vegetable fats and oils machinery,"8479",Heading
277,animal toilet preparations,"3307",Heading
278,"animals, dead (unfit for human consumption)","0511",Heading
279,"animals, stuffed","9705",Heading
280,anise seeds,"0909",Heading
281,ankle socks,"6115",Heading
282,anoraks (including ski-jackets) - knitted or crocheted women's or girls,"6102",Heading
283,anoraks (including ski-jackets) - other than knitted or crocheted women's or girls,"6202",Heading
284,anoraks (including ski-jackets) - knitted or crocheted men's or boys,"6101",Heading
285,anoraks (including ski-jackets) - other than knitted or crocheted men's or boys,"6201",Heading
286,anthracene,"2707",Heading
287,anthracene,"2902",Heading
288,anthracene black,"2803",Heading
289,anthracite,"2701",Heading
290,anti-corrosive and anti-fouling compositions,"3208",Heading
291,anti-corrosive and anti-fouling compositions,"3210",Heading
292,anti-freezing preparations,"3820",Heading
293,anti-histamine medicaments,"3003",Heading
294,anti-histamine medicaments,"3004",Heading
295,anti-icing preparations,"3811",Heading
296,anti-knock preparations,"3811",Heading
297,anti rust preparations,"2710",Heading
298,anti rust preparations,"3403",Heading
299,anti rust preparations,"3824",Heading
300,anti scaling compounds,"3824",Heading
301,anti - sprouting products,"3808",Heading
302,anti tank guns,"9301",Heading
303,antibiotics,"2941",Heading
304,antibiotics,"3003",Heading
305,antibiotics,"3004",Heading
306,antimacassars,"6304",Heading
307,antimonates,"2841",Heading
308,antimony ores and concentrates,"2617",Heading
309,antiperspirants,"3307",Heading
310,antiques,"9706",Heading
311,antisera,"3002",Heading
312,antlers,"0507",Heading
313,"antlers, mounted","9705",Heading
314,anvils,"8205",Heading
315,aperitifs,"2205",Heading
316,aperitifs,"2208",Heading
317,"apparel - fur, artificial (except headgear and footwear)","4304",Heading
318,apparel - furskin ( except headgear and footwear),"4303",Heading
319,apparel - leather,"4203",Heading
320,apparel - plastics,"3926",Heading
321,apparel - rubber,"4015",Heading
322,"apparel - worn, in bulk packing's","6309",Heading
323,"apple pomade, dried","2308",Heading
324,apples,"08",Chapter
325,"appliances wire, electrical insulated","8544",Heading
326,appliqué work,"5810",Heading
327,apricot kernels,"1212",Heading
328,apricots,"08",Chapter
329,aprons,"6114",Heading
330,aprons,"6211",Heading
331,aptitude testing apparatus,"9019",Heading
332,aqueous solutions of essential oils,"3301",Heading
333,aqueous distillates of essential oils,"3301",Heading
334,"arabic, gum","1301",Heading
335,arc-lamp carbons,"8545",Heading
336,arc lamps,"8539",Heading
337,"archery equipment, sport","9506",Heading
338,"archery equipment, toy","9503",Heading
339,architectural plans and drawings,"4906",Heading
340,areca and cola nuts,"0802",Heading
341,argentan lace,"5804",Heading
342,argol,"2307",Heading
343,arm chairs,"9401",Heading
344,armlets,"6212",Heading
345,armoured fighting vehicles and parts,"8710",Heading
346,"arrowroot, fresh or dried","0714",Heading
347,arenates,"2842",Heading
348,"arsenic sulphides, natural","2530",Heading
349,arsenic,"2804",Heading
350,arenites,"2842",Heading
351,artificial - body parts,"9021",Heading
352,"artificial - flower, foliage or fruit","6702",Heading
353,artificial - graphite,"3801",Heading
354,artificial - honey,"1702",Heading
355,"artificial - stone, articles of","6810",Heading
356,artificial - waxes,"3404",Heading
357,artillery weapons,"9304",Heading
358,artists colours,"3213",Heading
359,artists brushes,"9603",Heading
360,"asbestos, articles of","6812",Heading
361,"asbestos, articles of","6813",Heading
362,"asbestos, crude and waste","2524",Heading
363,asbestos - cement working machinery,"8464",Heading
364,"asbestos - cement, articles of","6811",Heading
365,ash dischargers,"8416",Heading
366,ash,"2618",Heading
367,ash,"2621",Heading
368,asparagus,"07",Chapter
369,"asphalt, natural","2714",Heading
370,aspirator separators,"8437",Heading
371,aspirin (acetylsalicylic acid) - tableted or compounded,"3003",Heading
372,aspirin (acetylsalicylic acid) - tableted or compounded,"3004",Heading
373,aspirin (acetylsalicylic acid) other,"2918",Heading
374,assay balances,"9016",Heading
375,asses,"0101",Heading
376,astronomical instruments,"9005",Heading
377,athletic equipment,"9506",Heading
378,atlases,"4905",Heading
379,audiometers,"9018",Heading
380,auger bits,"8207",Heading
381,auriscopes,"9018",Heading
382,autoclaves,"8419",Heading
383,automata (animated shop window display),"9618",Heading
384,"automatic stop motions, textile","8448",Heading
385,"automatic door closers, base metal","8302",Heading
386,automatic data processing machines and unit thereof - central processing units (see motherboards),"8471",Heading
387,automatic data processing machines and unit thereof - floppy disc drives (see storage units),"8471",Heading
388,automatic data processing machines and units thereof - hard disc drives (see storage units),"8471",Heading
389,automatic data processing machines and units thereof - keyboards (see input units above),"8471",Heading
390,automatic data processing machines and units thereof - laptops,"8471",Heading
391,"automatic data processing machines and units thereof - memories, single chip (drams etc)","8542",Heading
392,"automatic data processing machines and units thereof - memories, mounted on boards (drams etc)","8473",Heading
393,"automatic data processing machines and units thereof - memories, mounted on boards (drams etc)","8548",Heading
394,automatic data processing machines and units thereof - monitors,"8528",Heading
395,"automatic data processing machines and units thereof - motherboards, with processor and memory","8471",Heading
396,"automatic data processing machines and units thereof - motherboards, without processor and memory.","8473",Heading
397,automatic data processing machines and units thereof - mouse,"8471",Heading
398,automatic data processing machines and units thereof - output units (except monitors and printers),"8471",Heading
399,automatic data processing machines and units thereof - parts (subject to note 2 to section xvi) and accessories,"8473",Heading
400,a automatic data processing machines and units thereof -  printers,"8443",Heading
401,automatic data processing machines and units thereof -  servers,"8471",Heading
402,automatic data processing machines and units thereof -trackball,"8471",Heading
403,automatic data processing machines and units thereof -  workstations,"8471",Heading
404,"automatics, bars and chucks","8458",Heading
405,auxiliary boiler plant,"8404",Heading
406,aviation fuel (kerosene type),"2710",Heading
407,aviation fuel (spirit type),"2710",Heading
408,avocados fresh or dried,"0804",Heading
409,"awnings, textile","6306",Heading
410,axes,"8201",Heading
411,axles for motor vehicles,"8708",Heading
412,"axles, tyres and wheels, for railway and tramway rolling stock","8607",Heading
413,axminster carpets,"5702",Heading
414,azides,"2850",Heading
415,babies' garments and clothing accessories - knitted or crocheted,"6111",Heading
416,babies' garments and clothing accessories - other than knitted or crocheted,"6209",Heading
417,baby carriages and parts,"8715",Heading
418,back cloths,"5807",Heading
419,backsaws,"8202",Heading
420,backward waves oscillators and amplifiers,"8543",Heading
421,backwashing machines,"8445",Heading
422,bacon,"0210",Heading
423,"bacon, canned, prepared or preserved","1602",Heading
424,"bacon, prepared or preserved","1602",Heading
425,"badges, woven textile, not embroidered","5807",Heading
426,badian seeds,"0909",Heading
427,baffles (filter parts),"8421",Heading
428,bag and envelope making machinery,"8441",Heading
429,bagasse,"2302",Heading
430,bagasse pulp,"4706",Heading
431,bagetelle tablets,"9504",Heading
432,bagpipes,"9205",Heading
433,"bags - designed for prolonged use, of leather, plastics, textile or paperboard","4202",Heading
434,"bags, for packing of goods, of woven textile materials","6302",Heading
435,"bags, paper","4819",Heading
436,"bags of plastic sheeting, for packing of goods (with handles)","3923",Heading
437,"bags of plastic sheeting designed for prolonged use, for packing of goods","3923",Heading
438,"bags, travelling of leather, plastic sheeting, textile or paperboard","4202",Heading
439,bahia piassava,"1403",Heading
440,bakery and biscuit machinery,"8438",Heading
441,"bakeware, aluminium","7615",Heading
442,"baking powder, prepared","2102",Heading
443,balanced beams (gymnastics),"9506",Heading
444,"balances, of a sensitivity of 5cg or better, with or without weights","9016",Heading
445,balata,"4001",Heading
446,bale breakers,"8445",Heading
447,bale rollers,"8433",Heading
448,baler twine,"5607",Heading
449,"balers, pick up (agricultural)","8433",Heading
450,ball bearings,"8482",Heading
451,ball clay,"2508",Heading
452,ballasts (electrical),"8504",Heading
453,ball point pens,"9608",Heading
454,ballet skirts,"6114",Heading
455,ballet skirts,"6211",Heading
456,"ballet shoes, ballroom shoes and jazz shoes","6402",Heading
457,"ballet shoes, ballroom shoes and jazz shoes","6403",Heading
458,"ballet shoes, ballroom shoes and jazz shoes","6404",Heading
459,ballistic missiles,"9306",Heading
460,ballonets,"8803",Heading
461,balloons,"8801",Heading
462,"balloons, toy","9503",Heading
463,balls - for ball bearings,"8482",Heading
464,balls - for use in grinding and crushing mills of iron or steel,"7325",Heading
465,balls - sports,"9506",Heading
466,balls - steel,"7325",Heading
467,balls - steel,"7326",Heading
468,balls - toys,"9503",Heading
469,balsams,"1301",Heading
470,balustrades - aluminium,"7610",Heading
471,balustrades - ceramic,"6905",Heading
472,balustrades - iron or steel,"7308",Heading
473,balustrades - plastic,"3925",Heading
474,balustrades - stone,"6802",Heading
475,balustrades - zinc,"7907",Heading
476,bamboo canes,"1401",Heading
477,bamboo flooring,"4412",Heading
478,"bananas, including plantains, fresh or dried","0803",Heading
479,bandage splints,"9021",Heading
480,bandages and plasters,"3005",Heading
481,banding machine,"8422",Heading
482,bands (for machinery etc),"4205",Heading
483,"bands, of plaited iron or steel wire","7312",Heading
484,"bands, rubber (e.g. office equipment)","4016",Heading
485,"bandsaw, blades","8202",Heading
486,banknotes,"4907",Heading
487,banknote counting machines,"8472",Heading
488,banner (textile),"6307",Heading
489,barbecues (iron or steel),"7321",Heading
490,"barbed wire, iron or steel","7313",Heading
491,barbiturates - tableted or compounded,"3003",Heading
492,barbiturates - tableted or compounded,"3004",Heading
493,barbiturates - other,"2933",Heading
494,bar code optical readers,"8471",Heading
495,barbetters (resistors),"8533",Heading
496,barges,"8901",Heading
497,"barium carbonate, natural (witherite)","2511",Heading
498,barium oxide,"2816",Heading
499,"barium sulphate, natural (baryites)","2511",Heading
